question_id,question,category,difficulty,ground_truth,baseline_answer,baseline_score,baseline_time_sec,treatment_answer,treatment_score,treatment_time_sec,sparql_attempts,errors,value_added,notes
Q001,How many reviewed (Swiss-Prot) human proteins are in UniProt?,quantitative,easy,20435,,,,,,,,,,
Q002,How many approved (Phase 4) drugs are in ChEMBL?,quantitative,easy,3592,,,,,,,,,,
Q003,How many cryo-EM structures are in PDB?,quantitative,easy,15032,,,,,,,,,,
Q004,How many human pathways are curated in Reactome?,quantitative,easy,2673,,,,,,,,,,
Q005,What is the best (highest) resolution protein structure in PDB?,quantitative,medium,0.48 Å (5D8V/3NIR),,,,,,,,,,
Q006,List all approved (Phase 4) drugs indicated for melanoma,enumeration,medium,16 drugs,,,,,,,,,,
Q007,List all GO molecular function terms containing 'kinase',enumeration,medium,7 terms,,,,,,,,,,
Q008,What human proteins have 'tumor suppressor' in their name?,enumeration,medium,multiple,,,,,,,,,,
Q009,What is the binding affinity (Kd) of imatinib for ABL kinase?,multi_criteria,medium,1.0-8.5 nM,,,,,,,,,,
Q010,Find kinase inhibitors with IC50 less than 10 nM,multi_criteria,hard,multiple,,,,,,,,,,
Q011,Find human mitochondrial proteins involved in apoptosis,multi_criteria,hard,multiple,,,,,,,,,,
Q012,What drugs in Phase 3+ target EGFR?,multi_criteria,medium,multiple,,,,,,,,,,
Q013,For UniProt P04637 (p53) what PDB structures exist?,cross_database,medium,30+ structures,,,,,,,,,,
Q014,Find PDB structures with p53 and their UniProt accessions,cross_database,medium,multiple,,,,,,,,,,
Q015,What Reactome pathways involve p53/TP53?,cross_database,hard,20+ pathways,,,,,,,,,,
Q016,What ChEBI compounds are in glycolysis pathways?,cross_database,hard,multiple,,,,,,,,,,
Q017,Is imatinib approved? What development phase?,verification,easy,Phase 4,,,,,,,,,,
Q018,Is BRCA1 annotated for DNA repair in UniProt?,verification,easy,Yes,,,,,,,,,,
Q019,Does aspirin inhibit COX-1 per ChEMBL?,verification,medium,Yes - INHIBITOR,,,,,,,,,,
Q020,Are there SARS-CoV-2 spike structures in PDB?,verification,medium,Yes - many,,,,,,,,,,
Q021,What is the molecular weight of p53?,quantitative,medium,43653 Da,,,,,,,,,,
Q022,What methods determined ribosome structures?,enumeration,medium,6 methods,,,,,,,,,,
Q023,Find drugs targeting kinases with cancer indication,multi_criteria,hard,multiple,,,,,,,,,,
Q024,How many proteins per GO cellular component (human)?,quantitative,hard,distribution,,,,,,,,,,
Q025,Top 5 most targeted proteins in ChEMBL?,enumeration,hard,ranked list,,,,,,,,,,
Q026,What is the sequence length of human insulin?,quantitative,medium,110 aa,,,,,,,,,,
Q027,List all organisms in Reactome,enumeration,easy,15 organisms,,,,,,,,,,
Q028,What NMR structures exist for peptides <50 residues?,multi_criteria,hard,multiple,,,,,,,,,,
Q029,What are synonyms for GO:0006915 (apoptotic process)?,enumeration,easy,multiple,,,,,,,,,,
Q030,What drugs inhibit kinases AND bind receptors?,multi_criteria,hard,multiple,,,,,,,,,,
